date,open,high,low,close,volume
9/18/01,104.33,105.3,103.36,104.05,22029200
9/19/01,104.1,104.5,98.56,101.95,42771800
9/20/01,100.4,101.81,98.56,98.71,36210900
9/21/01,94.28,98.99,93.8,97.28,49782100
9/24/01,99.72,101.16,99.06,100.7,25549600
9/25/01,100.75,102,99.9,101.75,25466200
9/26/01,102.35,102.4,100.43,101.39,18587500
9/27/01,101.25,102.29,100,102.27,20536800
9/28/01,102.98,109.62,102.5,104.44,21687200
10/1/01,103.9,104.32,102.83,104.27,20457400
10/2/01,104,105.58,103.65,105.58,19833100
10/3/01,104.6,107.88,104.35,107.35,32045800
10/4/01,108.29,108.97,106.75,107.44,32674100
10/5/01,107.25,107.62,105.52,107.23,29796100
10/8/01,106.27,107.3,105.87,106.53,12970300
10/9/01,106.61,106.75,105.6,105.96,15976300
10/10/01,105.8,108.55,105.52,108.32,19987400
10/11/01,108.95,110.3,108.95,110,23006300
10/12/01,109.15,109.89,107.3,109.5,31360500
10/15/01,108.63,109.45,108.06,109.3,16873000
10/16/01,109.8,110.61,108.95,109.99,15877100
10/17/01,111.07,111.15,107.65,107.65,28542300
10/18/01,107.82,108.16,106.75,107.42,16510000
10/19/01,107,107.91,106.01,107.35,21912500
10/22/01,107.3,109.57,107.21,109.47,17540600
10/23/01,109.96,110.28,108.38,108.91,22062500
10/24/01,108.98,109.45,108.22,108.62,16065200
10/25/01,107.45,110.6,106.74,110.57,27467900
10/26/01,109.95,111.79,109.67,110.32,18623300
10/29/01,110.16,110.55,107.45,107.45,18727500
10/30/01,107.35,107.7,105.56,106.16,26178600
10/31/01,106.9,107.86,105.8,105.8,28124200
11/1/01,106.6,109.01,105.7,108.51,29806800
11/2/01,108.44,109.38,107.87,109.25,17575900
11/5/01,110.12,111.09,109.95,110.68,15929500
11/6/01,110.35,112.48,109.85,112.4,23245800
11/7/01,111.77,113.12,111.64,112.25,19716000
11/8/01,112.87,114.08,111.9,112.6,22563500
11/9/01,112.25,112.96,111.44,112.72,15895800
11/12/01,111,112.65,110,112.03,26068800
11/13/01,113.44,114.55,113.18,114.55,15296200
11/14/01,115.17,115.4,113.71,114.66,17571300
11/15/01,114.37,115.18,113.93,114.87,19470200
11/16/01,115.08,115.1,113.4,114.36,18134900
11/19/01,114.92,115.85,114.45,115.77,13625400
11/20/01,115.37,115.8,114.64,114.8,16209700
11/21/01,114.5,114.67,113.51,114.04,11470200
11/23/01,114.04,115.75,114,115.68,6717100
11/26/01,115.75,116.34,115.07,115.93,13726000
11/27/01,115.62,116.9,114.09,115.43,19261400
11/28/01,114.74,115.17,113.25,113.34,20195500
11/29/01,113.66,114.92,113,114.87,16354700
